Rolling Resistance,Speed
145.3070742,0.009097796
147.9738237,0.011505224
147.7017064,0.011168713
147.7017064,0.010869592
147.7017064,0.01057047
147.8377651,0.010240191
147.4295891,0.009947301
147.7017064,0.009606635
147.7017064,0.009307514
148.245941,0.009049937
