x,y
0.059145866,3.982390176
0.170678069,3.952767586
0.282210273,3.925274725
0.393742477,3.901266875
0.50527468,3.880356811
0.616806884,3.861382865
0.728339088,3.844345035
0.839871291,3.828468876
0.951403495,3.813754387
1.062935699,3.799814345
1.174467902,3.786648749
1.286000106,3.773676766
1.397532309,3.761092005
1.509064513,3.74908808
1.620596717,3.737277766
1.73212892,3.725854676
1.843661124,3.714625198
1.955193328,3.703589331
2.066725531,3.692940688
2.178257735,3.682872879
2.289789939,3.672805071
2.401322142,3.663124486
2.512854346,3.653443901
2.62438655,3.644537763
2.735918753,3.635438013
2.847450957,3.626531875
2.958983161,3.61801296
3.070515364,3.609687657
3.182047568,3.601362354
3.293579772,3.593424275
3.405111975,3.585486195
3.516644179,3.577741727
3.628176383,3.570771706
3.739708586,3.563608073
3.85124079,3.55528277
3.962772994,3.549280808
4.074305197,3.542117175
4.185837401,3.535534377
4.297369605,3.529145191
4.408901808,3.522949617
4.520434012,3.516560431
4.631966216,3.510171245
4.743498419,3.50397567
4.855030623,3.498554543
4.966562827,3.492746192
5.07809503,3.486937841
5.189627234,3.481516713
5.301159438,3.475708362
5.412691641,3.470093623
5.524223845,3.464866107
5.635756049,3.459638591
5.747288252,3.454411076
5.858820456,3.448796336
5.970352659,3.443568821
6.081884863,3.43776047
6.193417067,3.431371284
6.30494927,3.423045981
6.416481474,3.409493162
6.528013678,3.390325604
6.639545881,3.358186062
6.725729857,3.312622775
6.781495959,3.260089468
6.816259243,3.210294383
6.842331706,3.158146455
6.862610289,3.103807949
6.884578753,3.046761645
6.89978769,2.986774288
6.911858275,2.928865951
6.933585327,2.8540212
6.95386391,2.769364485
6.974142492,2.683642906
6.994421075,2.598719975
7.014699657,2.521251094
