x,y
0.059145866,3.837762238
0.170678069,3.807365201
0.282210273,3.779291505
0.393742477,3.753734761
0.50527468,3.731082192
0.616806884,3.710946576
0.728339088,3.692553464
0.839871291,3.676677305
0.951403495,3.662156428
1.062935699,3.649765279
1.174467902,3.637567742
1.286000106,3.62595104
1.397532309,3.61452795
1.509064513,3.603492083
1.620596717,3.59284344
1.73212892,3.582194796
1.843661124,3.571352541
1.955193328,3.561091121
2.066725531,3.55179776
2.178257735,3.54153634
2.289789939,3.531855755
2.401322142,3.521981558
2.512854346,3.512494585
2.62438655,3.503201224
2.735918753,3.49371425
2.847450957,3.485001724
2.958983161,3.475901974
3.070515364,3.466608613
3.182047568,3.457896086
3.293579772,3.44918356
3.405111975,3.440664645
3.516644179,3.43098406
3.628176383,3.423626816
3.739708586,3.415107901
3.85124079,3.406588986
3.962772994,3.398457295
4.074305197,3.390325604
4.185837401,3.382387524
4.297369605,3.374062221
4.408901808,3.366317753
4.520434012,3.358379673
4.631966216,3.351022429
4.743498419,3.343471573
4.855030623,3.335727105
4.966562827,3.327982637
5.07809503,3.321206227
5.189627234,3.315010653
5.301159438,3.308621467
5.412691641,3.302038669
5.524223845,3.294875036
5.635756049,3.287517792
5.747288252,3.279386101
5.858820456,3.270673574
5.970352659,3.261186601
6.081884863,3.250344346
6.193417067,3.237759586
6.30494927,3.223045096
6.416481474,3.203683927
6.528013678,3.171931608
6.614197653,3.126271516
6.669963755,3.078494603
6.709394332,3.025582677
6.746732675,2.974502994
6.785841369,2.92095553
6.811913833,2.871059029
6.842331706,2.816395993
6.87274958,2.756905572
6.889648399,2.703520373
6.903167454,2.659789945
6.923446036,2.6193251
6.942034737,2.571122241
6.962313319,2.521783526
