x,y
0.059145866,3.468159412
0.170678069,3.445363333
0.282210273,3.424112751
0.393742477,3.403828104
0.50527468,3.384316206
0.616806884,3.36596343
0.728339088,3.347997029
0.839871291,3.330803376
0.951403495,3.314382472
1.062935699,3.298541129
1.174467902,3.283665721
1.286000106,3.269563062
1.397532309,3.256619525
1.509064513,3.244835112
1.620596717,3.233050698
1.73212892,3.222039033
1.843661124,3.21083418
1.955193328,3.199629328
2.066725531,3.189390411
2.178257735,3.179344681
2.289789939,3.168912577
2.401322142,3.159253222
2.512854346,3.14998024
2.62438655,3.13993451
2.735918753,3.130661529
2.847450957,3.121774922
2.958983161,3.113081502
3.070515364,3.104001708
3.182047568,3.095501475
3.293579772,3.086614868
3.405111975,3.078114635
3.516644179,3.070000776
3.628176383,3.061693731
3.739708586,3.053386685
3.85124079,3.044886452
3.962772994,3.036772593
4.074305197,3.028658735
4.185837401,3.019192566
4.297369605,3.012044643
4.408901808,3.00354441
4.520434012,2.995430551
4.631966216,2.987316693
4.743498419,2.978236899
4.855030623,2.969157104
4.966562827,2.960270497
5.07809503,2.950997516
5.189627234,2.940951786
5.301159438,2.930712869
5.412691641,2.919701204
5.524223845,2.90791679
5.635756049,2.894780067
5.747288252,2.879904659
5.858820456,2.862131445
5.970352659,2.838755804
6.076815218,2.800330888
6.162999193,2.751849203
6.223834941,2.704915774
6.274531397,2.658589505
6.321848089,2.607446437
6.374475839,2.549968672
6.414453616,2.516635616
