x,y
0.059145866,4.081132142
0.170678069,4.060609302
0.282210273,4.042022579
0.393742477,4.024597526
0.50527468,4.008334144
0.616806884,3.991877149
0.728339088,3.976969049
0.839871291,3.961480113
0.951403495,3.946572012
1.062935699,3.930824927
1.174467902,3.918111092
1.286000106,3.903977438
1.397532309,3.890618231
1.509064513,3.877259024
1.620596717,3.864867875
1.73212892,3.852476727
1.843661124,3.841247248
1.955193328,3.830985828
2.066725531,3.821111632
2.178257735,3.811043823
2.289789939,3.801750462
2.401322142,3.7924571
2.512854346,3.783357351
2.62438655,3.774838436
2.735918753,3.765932298
2.847450957,3.757800606
2.958983161,3.749862527
3.070515364,3.741537224
3.182047568,3.733986368
3.293579772,3.726629123
3.405111975,3.719659102
3.516644179,3.712689081
3.628176383,3.706299895
3.739708586,3.699910709
3.85124079,3.693908746
3.962772994,3.688100395
4.074305197,3.683066491
4.185837401,3.676870917
4.297369605,3.671837013
4.408901808,3.667190332
4.520434012,3.662543651
4.631966216,3.65789697
4.743498419,3.653443901
4.855030623,3.64879722
4.966562827,3.643956928
5.07809503,3.639503859
5.189627234,3.635244402
5.301159438,3.630597721
5.412691641,3.62595104
5.524223845,3.621497971
5.635756049,3.616657679
5.747288252,3.610849328
5.858820456,3.605040977
5.970352659,3.598458179
6.081884863,3.591488158
6.193417067,3.583162855
6.30494927,3.573095047
6.416481474,3.557606111
6.528013678,3.53359826
6.639545881,3.496424814
6.730799503,3.448823995
6.79163525,3.402213362
6.831065827,3.352141074
6.867679934,3.301264223
6.891338281,3.247311096
6.913306745,3.195386282
6.935275209,3.134790431
6.942034737,3.076932802
6.961750025,3.003812117
6.971245552,2.923693753
6.98090202,2.867154527
6.992731193,2.811426626
7.002025543,2.75339152
7.020783232,2.695995332
7.024838949,2.637498784
7.03497824,2.59632403
7.053228964,2.534987844
